scattering_point,phi_center_deg,phi_3db_deg,theta_center_deg,theta_3db_deg,g_max,sigma_max,range_theta_deg,range_phi_deg,lg_sigma_m_dbsm,sigma_sigmaS_db
Left,90,7.13,90,8.68,7.43,14.30,"[45,135)","[45,135)",-5.85,2.50
Back,180,10.09,90,11.43,3.99,10.86,"[45,135)","[135,225)",-5.85,2.50
Right,270,7.13,90,8.68,7.43,14.30,"[45,135)","[225,315)",-5.85,2.50
Front,0,14.19,90,16.53,1.02,7.89,"[45,135)","[-45,45)",-5.85,2.50
Bottom,-,-,180,4.93,13.55,20.42,"[135,180]","[0,360)",-5.85,2.50
Roof,-,-,0,4.93,13.55,20.42,"[0,45)","[0,360)",-5.85,2.50
