condition,mu_lgZSD,sigma_lgZSD,mu_offset_ZOD
LOS,"max[-0.21, -14.8(d2D/1000) + 0.01|hUT-hBS| + 0.83]",0.35,0
NLOS,"max[-0.5, -3.1(d2D/1000) + 0.01 max(hUT-hBS,0) +0.2]",0.35,"-10^{-1.5log10(max(10, d2D))+3.3}"
