scattering_point,phi_center_deg,phi_3db_deg,theta_center_deg,theta_3db_deg,g_max,sigma_max,range_theta_deg,range_phi_deg,lg_sigma_m_dbsm,sigma_sigmaS_db
Front,0,216.65,90,55.7,2.14,7.7,"[0,180]","[-90, 90)",-1.37,3.94
Back,180,216.65,90,55.7,2.14,7.7,"[0,180]","[90,270)",-1.37,3.94
