scattering_point,phi_center_deg,phi_3db_deg,theta_center_deg,theta_3db_deg,g_max,sigma_max,range_theta_deg,range_phi_deg,lg_sigma_m_dbsm,sigma_sigmaS_db
Front,0,13.68,90,13.68,13.00,30.26,"[0,180]","[0,360)",-4.25,2.51
Left,90,15.53,75,20.03,7.27,24.53,"[0,180]","[0,360)",-4.25,2.51
Back,180,12.49,90,11.89,10.98,28.24,"[0,180]","[0,360)",-4.25,2.51
Right,270,15.53,75,20.03,7.27,24.53,"[0,180]","[0,360)",-4.25,2.51
Roof,-,-,0,11.44,11.77,29.03,"[0,180]","[0,360)",-4.25,2.51
