scattering_point,phi_center_deg,phi_3db_deg,theta_center_deg,theta_3db_deg,g_max,sigma_max,range_theta_deg,range_phi_deg,lg_sigma_m_dbsm,sigma_sigmaS_db
Front,0,13.68,90,13.68,13.02,23.29,"[30,180]","[-45,45)",-4.25,2.51
Left,90,15.53,75,20.03,7.33,17.60,"[30,180]","[45,135)",-4.25,2.51
Back,180,12.49,90,11.89,11.01,21.28,"[30,180]","[135,225)",-4.25,2.51
Right,270,15.53,75,20.03,7.33,17.60,"[30,180]","[225,315)",-4.25,2.51
Roof,-,-,0,11.44,11.79,22.06,"[0,30)","[0,360)",-4.25,2.51
