scenario,alpha_d,beta_d,c_d,alpha_h,beta_h,c_h
UMi,6.1996,0.1558,15.2697,12.0487,2.3261,0.0157
UMa / Urban grid / Highway(FR2) / HST(FR2),10.3370,0.1317,68.7778,16.2253,1.9218,2.6142
RMa / Highway(FR1) / HST(FR1),6.2025,0.0391,1.2940,0.0007,5.0146,0.0522
Indoor office,4.236,0.19255,4.99,1.3293,0.1442,-13.19
Indoor Factory,0.039836,0.179783,1.130020,0.283447,0.435965,-17.043530
