scenario,condition,asa_deg,asd_deg,zsa_deg,zsd_deg,desired_k_db,desired_ds_ns
UMa-AV,LOS,0.5,0.5,0.1,0.1,20,10
UMa-AV,NLOS,1,1,0.3,0.3,10,30
